ds,yhat,yhat_lower,yhat_upper,Store
2011-08-19,1542339.0855360606,1408159.1098810933,1682589.7535096165,1
2011-08-26,1558975.0695687018,1426307.9769160291,1699440.6667883145,1
2011-09-02,1549851.4251043827,1399752.080411126,1692270.1168850309,1
2011-09-09,1508844.6829253868,1386492.5879583838,1647170.8992553994,1
2011-09-16,1465077.6808629944,1332142.9484495884,1602282.8855153183,1
2011-09-23,1457561.8983890812,1320794.9885612603,1592163.6864704865,1
2011-09-30,1489339.896596087,1357104.690373045,1623751.2083224508,1
2011-10-07,1519336.666072439,1400211.824674264,1647756.8302332377,1
2011-10-14,1509745.3859976963,1381860.5967624153,1649182.9584304625,1
2011-10-21,1475603.6960267248,1341455.3214399319,1617048.6166037538,1
2011-10-28,1472847.1329055312,1331877.5240838588,1611644.3654228968,1
2011-11-04,1533213.3457150077,1405241.1844981408,1672602.00494525,1
2011-11-11,1623926.822447521,1480121.9242680885,1759254.4795087427,1
2011-11-18,1686043.565452644,1559208.8473374078,1819970.654920934,1
2011-11-25,1708879.7669185307,1560905.905586177,1846876.2652794942,1
2011-12-02,1746115.8847395128,1605818.434057464,1874061.8810152365,1
2011-12-09,1843419.899966086,1707966.6945712857,1987476.7557424905,1
2011-12-16,1958422.7765185637,1819924.1517210566,2091016.1906862773,1
2011-12-23,1976669.5830177553,1843883.1572650531,2110533.3871108266,1
2011-12-30,1824133.197800836,1689184.5120264154,1960454.2260043696,1
2012-01-06,1561109.8245292082,1417606.6349195598,1697184.7825570651,1
2012-01-13,1350132.8706226763,1217793.9256477186,1485598.01422995,1
2012-01-20,1320327.2919008457,1179637.2168087468,1442702.542697166,1
2012-01-27,1460425.8844772445,1321142.653468224,1591866.8323515614,1
2012-02-03,1641883.2311590556,1505292.9031515406,1772208.2411723218,1
2012-02-10,1739210.0602548448,1600399.70333619,1872193.058866589,1
2012-02-17,1724767.4466132422,1588794.1439008825,1862777.0562706443,1
2012-02-24,1658856.5239538155,1523651.2624966968,1805058.4011684943,1
2012-03-02,1610578.416779638,1462330.8609442115,1748927.8014383758,1
2012-03-09,1601128.5963662043,1460141.9118332088,1736171.6620384783,1
2012-03-16,1612475.1974691856,1476219.8353479276,1744210.672680527,1
2012-03-23,1625614.4180711901,1486313.865318786,1765579.4430495866,1
2012-03-30,1635953.5892009125,1502289.5745392037,1778649.9775847734,1
2012-04-06,1640664.4141873177,1500480.2238498004,1778209.017502768,1
2012-04-13,1630867.702214898,1496504.621540707,1767777.3551349954,1
2012-04-20,1604495.1615955334,1477194.4923401165,1735487.3276598584,1
2012-04-27,1577791.190135206,1437776.9981809664,1719856.0747080392,1
2012-05-04,1572260.620992642,1446739.7749616306,1712746.7784013976,1
2012-05-11,1589973.8209745674,1452720.334313473,1729610.1355458985,1
2012-05-18,1610247.486753987,1477905.4909048642,1738620.6254983072,1
2012-05-25,1614339.84572495,1485718.0376860683,1755078.9899725274,1
2012-06-01,1606969.147136255,1467551.324846077,1732453.9119123295,1
2012-06-08,1606496.5561122575,1477129.8493292052,1742460.7879691245,1
2012-06-15,1616965.5454376151,1480961.3571688924,1756297.2116815918,1
2012-06-22,1619822.2521008383,1487265.9028534507,1765416.209671514,1
2012-06-29,1597419.4306415517,1467815.2727010301,1736839.9952358396,1
2012-07-06,1557965.8487383323,1422007.244671735,1696273.8643386532,1
2012-07-13,1528987.1728379393,1394089.2286682308,1661391.6773001119,1
2012-07-20,1527387.8620964184,1390216.2730929716,1660912.4727825546,1
2012-07-27,1544287.539669486,1402040.00443023,1666263.6180278019,1
2012-08-03,1561929.7591567477,1419788.4731908867,1692325.1938178393,1
2012-08-10,1576713.1563468478,1449966.7594415776,1726086.9146354056,1
2012-08-17,1595863.773828546,1457056.8113027252,1734292.062809237,1
2012-08-24,1614647.7710627022,1475622.9428828584,1763645.850005214,1
2012-08-31,1611493.892919929,1470200.306313351,1741050.3863889165,1
2012-09-07,1574997.9984167875,1437326.857825988,1708522.4494686902,1
2012-09-14,1528508.0837876084,1385589.4292766529,1665295.3582269277,1
2012-09-21,1512796.5801523894,1384666.8503966273,1646159.186974768,1
2012-09-28,1539672.787070833,1404254.0564441222,1673867.1204612143,1
2012-10-05,1573709.6653375307,1440152.3935105759,1712440.1804476017,1
2012-10-12,1571899.5848516105,1436245.7994905235,1711676.7335148845,1
2012-10-19,1538503.2441633171,1403935.4765438158,1677420.9111633617,1
2012-10-26,1526205.5678404414,1386743.0479853197,1662484.8048467983,1
2012-10-28,1533722.2862604312,1400992.2182464858,1679239.3457806255,1
2012-11-04,1599966.621129639,1456204.7926637335,1733023.1600626202,1
2012-11-11,1690154.9590264228,1561728.8038694004,1831531.6300726656,1
2012-11-18,1747222.197195496,1607499.3665719214,1877776.8131982058,1
2012-11-25,1768336.8737067955,1633343.3147795098,1912086.1935316091,1
2012-12-02,1810912.0391188634,1672994.3920471615,1935079.1045070519,1
2012-12-09,1913994.6157357385,1769935.1414178153,2046481.5775988763,1
2012-12-16,2024516.1942930338,1885347.9663503505,2156880.8058619592,1
2012-12-23,2026088.0634418146,1884930.2923265805,2163960.297776038,1
2012-12-30,1856234.6374687443,1721802.7769571976,1985418.8994409274,1
2013-01-06,1590309.3073509682,1456917.3334867372,1724993.9562806021,1
2013-01-13,1394522.3755286322,1264194.5566629823,1527197.3294582593,1
2010-02-05,2118925.924150851,1912098.2152950359,2312857.1902441257,2
2010-02-12,2142057.910639228,1956690.0930793502,2338129.808682523,2
2010-02-19,2067510.229431109,1877057.7808166607,2260755.8969839024,2
2010-02-26,1999626.1323132892,1806341.5428679462,2198634.5908515765,2
2010-03-05,1973434.380510547,1786856.303217797,2170062.0572232185,2
2010-03-12,1956714.984665766,1774368.8030243155,2140789.6021399684,2
2010-03-19,1926835.0898210562,1747368.7310591924,2119254.435279495,2
2010-03-26,1906274.101640648,1724127.4291296485,2081394.7393350727,2
2010-04-02,1919828.5747139172,1726259.5514767515,2114026.5637675943,2
2010-04-09,1947259.487823081,1768764.6018860368,2140290.5690709664,2
2010-04-16,1943374.412622732,1753355.3530433748,2134069.079664603,2
2010-04-23,1898627.5102740908,1720853.478597844,2078825.778036611,2
2010-04-30,1856419.576320202,1666448.585821908,2043546.2530662187,2
2010-05-07,1861928.4984721974,1675471.0518068338,2048691.2269623564,2
2010-05-14,1908604.8947430814,1728504.0881618985,2103647.839455416,2
2010-05-21,1950325.8682433015,1754451.7003944807,2144686.891736243,2
2010-05-28,1960072.6114916876,1765994.952001468,2160399.9220837555,2
2010-06-04,1957191.8511885377,1778437.3161561422,2154502.8724804777,2
2010-06-11,1970715.374962806,1792801.6324207347,2158726.2563843206,2
2010-06-18,1992216.0927678908,1814942.807885632,2177108.0199464518,2
2010-06-25,1983442.555926713,1791276.1338594465,2157656.9952753447,2
2010-07-02,1928378.9563349946,1742519.1608188068,2115540.9744268553,2
2010-07-09,1859432.0022733284,1661140.9330397486,2042507.5133088934,2
2010-07-16,1822674.5543718517,1632378.9448399947,2007356.8903683822,2
2010-07-23,1828203.9550154044,1638038.3327275824,2001292.8071866378,2
2010-07-30,1849045.283080156,1680021.8710599788,2052615.2207127416,2
2010-08-06,1863963.1624995084,1663969.6991097631,2059655.660036726,2
2010-08-13,1880699.2345617597,1698605.5794513642,2075807.4919999547,2
2010-08-20,1907830.2864688335,1731252.884993393,2101957.52534978,2
2010-08-27,1921227.0494421965,1731684.9611313196,2102032.314360509,2
2010-09-03,1883918.278102769,1691283.121660605,2072716.5313751127,2
2010-09-10,1802190.9267609986,1611320.9932417127,1994137.465012129,2
2010-09-17,1738806.4399143416,1558679.6953145643,1913998.088639076,2
2010-09-24,1749816.9225384265,1550571.3739505974,1934233.2637300282,2
2010-10-01,1815015.4446086702,1639379.8262251383,2008061.7071869131,2
2010-10-08,1855017.3896547088,1664069.3904331182,2041721.4743769218,2
2010-10-15,1826099.973290883,1638886.2917011478,2009514.129544085,2
2010-10-22,1779326.7222896104,1597600.507992989,1969276.471591493,2
2010-10-29,1803941.5488605795,1606862.0936562154,1987628.3703485462,2
2010-11-05,1918013.6255587526,1724259.9664106816,2118919.992944231,2
2010-11-12,2044333.376752169,1854333.1921844122,2218384.0706872167,2
2010-11-19,2110484.328732027,1919761.1384016844,2288869.13106549,2
2010-11-26,2150945.050669957,1960781.3653717076,2331255.5243086605,2
2010-12-03,2270687.7117082505,2083571.3458764118,2456965.446394587,2
2010-12-10,2494203.1405442758,2313763.7585305627,2684878.987286627,2
2010-12-17,2679822.617416318,2487957.402168298,2860547.077331032,2
2010-12-24,2626807.383357279,2444849.2566677164,2813010.483445278,2
2010-12-31,2284393.4290927323,2101075.09312197,2474500.5416542157,2
2011-01-07,1838154.983684234,1644486.7273992794,2031324.1791145683,2
2011-01-14,1565607.483073744,1392317.986554933,1756793.620630674,2
2011-01-21,1598224.2014585913,1407892.7594296753,1778147.1500631343,2
2011-01-28,1826654.440310123,1637818.2740553636,2015052.1292702395,2
2011-02-04,2030325.7469387942,1861690.01232438,2210825.8096778668,2
2011-02-11,2080837.0633360953,1891935.5832916668,2271139.5328859533,2
2011-02-18,2015385.3182441033,1821980.5019030145,2199694.2321366877,2
2011-02-25,1941071.5118677088,1760549.244443888,2128792.1664435877,2
2011-03-04,1908806.826592234,1713434.7160504614,2098278.850422996,2
2011-03-11,1893345.7063483773,1703036.2443529428,2070939.735749911,2
2011-03-18,1865294.3675055758,1667630.4116096133,2059375.0114194455,2
2011-03-25,1840484.833291857,1659310.05563504,2026172.2138116676,2
2011-04-01,1848192.988703987,1662332.5996280801,2029700.7287390188,2
2011-04-08,1876776.2179036855,1681241.276774521,2061015.4644441616,2
2011-04-15,1881129.563895419,1688083.3887875418,2072967.524650709,2
2011-04-22,1841893.8332267825,1652434.0764391557,2021125.6755580734,2
2011-04-29,1795570.183608922,1597286.9076010599,1977367.7392213342,2
2011-05-06,1791799.6426403304,1613481.388717637,1988256.362074463,2
2011-05-13,1834610.271182877,1658451.9796977262,2032330.4804606845,2
2011-05-20,1881030.121613167,1681944.6641855575,2076825.6400161455,2
2011-05-27,1896774.6422885074,1704110.8090288634,2079024.0209634984,2
2011-06-03,1894452.060344527,1715011.0549150782,2083551.8323961028,2
2011-06-10,1905222.1397967802,1718626.7975373825,2100600.3845070614,2
2011-06-17,1928779.500680326,1742507.10329344,2122928.7414496876,2
2011-06-24,1928854.9125821479,1733775.429578284,2108792.45039872,2
2011-07-01,1882291.4683249497,1692363.3474084672,2071663.873625195,2
2011-07-08,1813418.3852855563,1625331.8490676775,2011370.1028833243,2
2011-07-15,1770102.787386394,1580441.5766297516,1960118.619603288,2
2011-07-22,1770804.1998925072,1596306.7117302343,1962248.8595588808,2
2011-07-29,1792590.9611991858,1582918.5029817685,1964987.3129809112,2
2011-08-05,1810484.4550392258,1617844.4103750903,2002445.8141370525,2
2011-08-12,1827438.7000727295,1638982.0909037206,2019520.230412778,2
2011-08-19,1855184.3009684791,1659701.490433313,2042298.8670843798,2
2011-08-26,1875858.3239752885,1695958.8498474937,2072502.6247226654,2
2011-09-02,1851157.5775752333,1664160.5414216479,2027601.4712163112,2
2011-09-09,1776056.8480848765,1593581.478110924,1975356.341234329,2
2011-09-16,1706044.1927647046,1509755.4152853633,1883620.0573719908,2
2011-09-23,1704766.2386646287,1510715.9231450718,1881837.4832179376,2
2011-09-30,1767574.063766761,1568370.0111804083,1958139.973992213,2
2011-10-07,1820054.3037502707,1622283.341692277,1992088.0604226773,2
2011-10-14,1804777.196134064,1613743.0650135998,1991610.390339982,2
2011-10-21,1756642.9639218526,1567848.227045787,1932517.3912214246,2
2011-10-28,1766417.9291990125,1575455.0923848625,1951300.2023902948,2
2011-11-04,1870748.4360063088,1679050.6122496545,2046843.4245868016,2
2011-11-11,2004691.4899419835,1825509.539153355,2197494.525870481,2
2011-11-18,2085202.7480219468,1899143.9358005268,2282676.5855510477,2
2011-11-25,2125421.021220607,1936330.5078107219,2302598.4558099704,2
2011-12-02,2227384.2160963835,2042745.2258348456,2411223.748154276,2
2011-12-09,2440769.9356780783,2266133.9720658595,2627243.763697827,2
2011-12-16,2651459.1013738825,2454935.3390732687,2839339.694423809,2
2011-12-23,2654062.0590339494,2468695.224244066,2840589.2841557325,2
2011-12-30,2358414.166363446,2162591.0204986627,2546974.054181294,2
2012-01-06,1912295.231559026,1723550.7836330167,2089577.4396172133,2
2012-01-13,1594833.0888363742,1414126.5664463902,1791603.7258266467,2
2012-01-20,1577173.0956872406,1403491.0657810718,1776235.995886177,2
2012-01-27,1789042.9338100494,1611139.1817174011,1977828.8445660418,2
2012-02-03,2013849.5154024472,1827509.3324771905,2209630.6163176894,2
2012-02-10,2095779.0908568099,1914490.067910301,2286283.1187531776,2
2012-02-17,2045763.8342876744,1860095.9527373577,2232974.245100324,2
2012-02-24,1969144.3194126303,1776288.1749116224,2162223.047144324,2
2012-03-02,1932221.9446650208,1748117.7293801492,2124191.3645433853,2
2012-03-09,1919386.5720875217,1740083.0303299404,2094739.9301724036,2
2012-03-16,1896234.1102758255,1723909.7079652299,2084568.5098655066,2
2012-03-23,1870733.429129698,1684647.6632385624,2056609.6825702055,2
2012-03-30,1874262.4578468394,1693461.9700786117,2064980.0354284823,2
2012-04-06,1904424.415758072,1704032.5789170552,2089730.950560596,2
2012-04-13,1918357.66058544,1732215.6341298756,2114961.2071901103,2
2012-04-20,1887972.5776550137,1711184.6652236076,2075690.589633625,2
2012-04-27,1840771.6678772122,1650638.5527412943,2032148.5050223356,2
2012-05-04,1829311.266396616,1654814.5383801423,2019589.1649790152,2
2012-05-11,1868169.3506864554,1666798.5949815207,2052481.906069047,2
2012-05-18,1919536.6478165484,1738159.1539474379,2108379.272282346,2
2012-05-25,1943215.665967566,1747967.9052302612,2119866.1986825303,2
2012-06-01,1943284.4681270283,1749806.8081507012,2139996.0399037777,2
2012-06-08,1951968.2934725094,1769223.730512334,2145180.972793348,2
2012-06-15,1976935.8002077572,1792750.5635545175,2170278.399088061,2
2012-06-22,1985660.0268381648,1798828.9694933323,2170653.9800751787,2
2012-06-29,1948293.9988967986,1760085.8428515713,2143459.6024168716,2
2012-07-06,1881014.5186375345,1690521.3297315887,2069458.4868420244,2
2012-07-13,1831593.0814823976,1636532.09868505,2010469.6739763045,2
2012-07-20,1826437.5337528887,1652474.0693658725,2025666.7828725667,2
2012-07-27,1848088.9618908213,1657620.3375741737,2026239.743324729,2
2012-08-03,1868148.6565919197,1688304.404863611,2055784.3854081815,2
2012-08-10,1884837.721507873,1698606.1349336621,2068696.769846239,2
2012-08-17,1911622.3052686502,1722654.023566122,2090980.1906179425,2
2012-08-24,1937182.8979224437,1747052.3424142946,2149086.302824778,2
2012-08-31,1923128.6335768218,1731122.3801293606,2105759.7532812557,2
2012-09-07,1854856.4741040245,1664201.5116330863,2036957.3695890969,2
2012-09-14,1778761.5875388265,1590014.007032918,1965356.0461366274,2
2012-09-21,1763335.6084000783,1582368.374317059,1960552.5264511693,2
2012-09-28,1819379.2690780046,1628374.4649407913,2013203.4270355173,2
2012-10-05,1880011.5820598344,1695878.8489721876,2075483.552240281,2
2012-10-12,1877326.1070587134,1707532.498218869,2077200.8593854445,2
2012-10-19,1828797.723951551,1645362.2999695495,2008831.6318620432,2
2012-10-26,1822778.475382131,1634371.1743572156,2004889.0511702048,2
2012-10-28,1838892.8298483596,1652039.8466305626,2027798.263121413,2
2012-11-04,1950906.348548499,1767633.1809455105,2133564.1283344314,2
2012-11-11,2082143.6641823212,1903790.8918827425,2255592.4407660733,2
2012-11-18,2155465.30308014,1953202.186826169,2342833.3362094914,2
2012-11-25,2196902.6715186005,1997216.4351364132,2381225.2467408814,2
2012-12-02,2310882.652660102,2118380.362627674,2498999.080180702,2
2012-12-09,2532400.8572269236,2357211.4382750476,2724186.3103993046,2
2012-12-16,2730433.548328692,2536976.2256571897,2910776.8388919807,2
2012-12-23,2701499.305244373,2519690.6745261545,2887280.5987976184,2
2012-12-30,2378628.6205023783,2183181.5646210792,2565318.649667152,2
2013-01-06,1932809.0098140324,1754302.716267033,2111061.676253717,2
2013-01-13,1643206.8221397926,1443230.8006802807,1831263.107460972,2
2010-02-05,408055.988997361,373516.60500735266,443787.7236272086,3
2010-02-12,426398.1017964376,395024.88521526684,460477.33351208415,3
2010-02-19,423936.72823100834,389874.957362923,456842.66181520553,3
2010-02-26,410018.32563716045,374706.40198407206,444758.2929911701,3
2010-03-05,394755.6777586449,361456.5409581088,429387.1311039805,3
2010-03-12,383994.0158067625,349085.95664121676,418330.68951804773,3
2010-03-19,379726.19530600443,344203.8622944503,413893.7426538909,3
2010-03-26,380954.17059143353,346285.354829402,414539.2436398895,3
2010-04-02,383707.1198750442,350708.5170682226,415947.95451103296,3
2010-04-09,383095.65177856735,348547.3448615359,417199.6716212915,3
2010-04-16,377675.06876387564,341241.21167319565,414337.82863897947,3
2010-04-23,371324.8572425813,337420.35762105475,404979.55122552573,3
2010-04-30,369186.19709118496,334666.6270010133,404869.24679214973,3
2010-05-07,371649.2948193866,339011.0598859232,406916.15917194943,3
2010-05-14,373898.4529483051,339451.3553495151,405427.62059167837,3
2010-05-21,372149.5771035838,336452.67442911107,404685.4766088558,3
2010-05-28,368864.1330168601,334190.2958971362,402143.83477002225,3
2010-06-04,369785.90145746776,336471.9578325741,404317.75186348835,3
2010-06-11,375927.8663047891,343556.3241907058,411632.4360838444,3
2010-06-18,380778.16139778163,345813.65850116266,413212.2021050635,3
2010-06-25,377168.55908527586,342899.56927433383,412452.02715853136,3
2010-07-02,366038.27493881556,332423.1419803902,398726.10132871487,3
2010-07-09,356199.2835821148,319223.57868122414,390838.4648644132,3
2010-07-16,354805.3198635952,323066.27538415085,388420.2969880495,3
2010-07-23,359721.51858088624,326319.0448228538,394253.05416321923,3
2010-07-30,362854.69433234987,327692.8399772649,397140.60557089414,3
2010-08-06,360093.7015721127,326163.67281754006,396368.6688003762,3
2010-08-13,355538.84736214735,320578.3311050231,388204.9732442585,3
2010-08-20,355204.9701974895,320679.6435673833,391671.7748416691,3
2010-08-27,358806.14038009447,326734.6532614894,394906.207987114,3
2010-09-03,360421.1682692057,325973.2530494137,396365.88451312034,3
2010-09-10,357007.3473333419,324469.2082210259,390168.6645756927,3
2010-09-17,353216.47747519164,317727.4705903211,386028.1528404841,3
2010-09-24,355622.5683602402,319952.6081006744,390937.6385168678,3
2010-10-01,363565.9557422824,331054.0910167216,398627.8443542419,3
2010-10-08,369000.007254449,336053.10462791426,404334.46745529637,3
2010-10-15,366637.2036603565,330776.7313034174,400928.1606971921,3
2010-10-22,362046.06294967904,327253.004555403,396130.6427390721,3
2010-10-29,366926.07961342984,333686.3785633468,401362.71205452195,3
2010-11-05,386447.9303926348,352911.5046009277,419953.5163878944,3
2010-11-12,413829.92977829947,378894.2232099976,446685.8093841495,3
2010-11-19,438736.1065086419,406333.29652151326,471549.16057171085,3
2010-11-26,458744.20162082603,424301.60962639493,491205.8964481738,3
2010-12-03,478883.494429237,446154.4285796255,512253.46872788033,3
2010-12-10,499273.61931829544,467750.37072178774,533321.4178339583,3
2010-12-17,507103.0583504939,469908.44451361353,537656.2476167844,3
2010-12-24,485865.74667660514,455372.2506291547,519855.01945186773,3
2010-12-31,434461.62730341917,400003.6215335004,467603.5621271754,3
2011-01-07,375183.3580355144,340989.32316193666,408881.2042683837,3
2011-01-14,339569.4560917959,306374.17369239626,372518.616821623,3
2011-01-21,344202.69103831355,308155.7722243591,378150.07835125306,3
2011-01-28,379120.76430337306,344253.4094211731,415011.2859632445,3
2011-02-04,418375.68119790364,382057.6678395222,450449.3539322779,3
2011-02-11,440725.2538882238,406110.38042057154,475712.501205719,3
2011-02-18,441467.4892091325,408856.27064963296,476688.9551801058,3
2011-02-25,428811.514517722,395335.7674061249,464563.8544852881,3
2011-03-04,413270.4354114905,377212.1165346447,447630.64084855834,3
2011-03-11,401513.65301251726,365595.0527012324,438525.2091600837,3
2011-03-18,396117.8436105177,361080.28400431975,432049.7494715917,3
2011-03-25,396622.796121559,361551.9853449978,433092.78201965446,3
2011-04-01,399542.11509563355,364862.3519361152,434141.6938476873,3
2011-04-08,399845.8754040808,366108.06179360463,432039.37982412026,3
2011-04-15,395186.87842837424,361608.87614870095,429278.20555632724,3
2011-04-22,388626.4591364088,354094.1631346353,423182.6699478514,3
2011-04-29,385604.1621612194,350394.8521889547,421142.5645058896,3
2011-05-06,387592.8216018812,354755.30596601893,421898.72441777575,3
2011-05-13,390377.1458026976,353527.54131484055,426501.98145129514,3
2011-05-20,389443.831422613,355753.10813777114,425114.3157345636,3
2011-05-27,386091.8313683816,355069.0831547889,422924.473306418,3
2011-06-03,386094.5155609633,353310.47281842254,419376.21274686133,3
2011-06-10,391743.46221059747,358856.89164407214,425547.7822534493,3
2011-06-17,397606.4070792078,362659.5034930796,434873.2315305874,3
2011-06-24,395876.2049367766,363741.480229424,432306.3912496925,3
2011-07-01,385751.8660985426,352391.5066398365,418876.6351918641,3
2011-07-08,375137.68987725355,341320.20060424623,409530.75976164074,3
2011-07-15,372274.88580863154,339046.52432643797,405882.568454021,3
2011-07-22,376786.8391039805,346734.7871201216,412386.6119742797,3
2011-07-29,380949.2721540472,347320.98453412624,413917.9722739386,3
2011-08-05,379341.68295492453,340228.25291905215,411701.6573849373,3
2011-08-12,374784.3949130748,342097.4905261126,406626.62911930506,3
2011-08-19,373674.4824869249,339365.23202133906,407940.9305155522,3
2011-08-26,377133.8571038927,341325.91077929555,414270.3029567434,3
2011-09-02,379738.4229661926,345660.04740248027,418166.2794452603,3
2011-09-09,377295.83982689056,343710.8921021016,412351.5700578035,3
2011-09-16,373217.51584153186,338147.1314825087,409655.75907963107,3
2011-09-23,374489.23725649,342033.186371186,409021.8170592494,3
2011-09-30,382127.66228647175,345711.16610815946,415166.7664117641,3
2011-10-07,388860.40009163285,354323.9884500543,422028.0508437766,3
2011-10-14,388037.2694062962,352585.6120968001,423197.0717568686,3
2011-10-21,383226.0613740456,350832.9700479399,416587.41544053616,3
2011-10-28,385918.2313776801,351073.47264572204,419323.98594341165,3
2011-11-04,403303.4619068967,367315.4731977455,438198.20320998057,3
